date,ano,section,title,url,palavras_chave,frame_predominante,area,abrangencia,instituicoes,pessoas
01/01/2025,2025,ciência,Definição do que é uma espécie ainda divide biólogos,https://www1.folha.uol.com.br/ciencia/2025/01/definicao-do-que-e-uma-especie-ainda-divide-biologos.shtml,"[""espécie"", ""evolução"", ""divergência"", ""características diagnósticas"", ""especiação"", ""genética"", ""morfologia"", ""zonas cinzentas""]",INDECISAO_CIENTIFICA,Ciências Biológicas,NACIONAL,"[""USP"", ""UFRJ""]","[""Gabriel Marroig"", ""Claudia Russo""]"
01/01/2025,2025,ciência,Cidade subterrânea é opção mais factível para ocupar Marte,https://www1.folha.uol.com.br/ciencia/2025/01/cidade-subterranea-e-a-opcao-mais-factivel-para-colonizar-marte-diz-biologa-americana.shtml,"[""cidade subterrânea"", ""Marte"", ""regolito"", ""radiação"", ""colonização"", ""assentamentos"", ""biociências"", ""planejamento urbano""]",DESCOBERTA_CIENTIFICA,Interdisciplinar,INTERNACIONAL,"[""Universidade Rice"", ""Universidade Tufts""]","[""Kelly Weinersmith"", ""Justin Hollander""]"
01/01/2025,2025,ciência,Migrações escandinavas ocorreram a partir do século 1º,https://www1.folha.uol.com.br/ciencia/2025/01/estudo-revela-migracao-escandinava-ate-o-imperio-romano-a-partir-do-seculo-1o.shtml,"[""migrações"", ""Escandinávia"", ""DNA"", ""Império Romano"", ""povos germânicos"", ""metodologia"", ""Pontus Skoglund"", ""Twigstats""]",DESCOBERTA_CIENTIFICA,Ciências Biológicas,INTERNACIONAL,"[""Instituto Francis Crick"", ""Riken""]","[""Pontus Skoglund"", ""Leo Speidel""]"
01/01/2025,2025,ciência,Os espetáculos do céu para ficar de olho em 2025,https://www1.folha.uol.com.br/ciencia/2025/01/chuva-de-meteoros-e-eclipse-lunar-os-espetaculos-do-ceu-para-ficar-de-olho-em-2025.shtml,"[""eclipses"", ""superluas"", ""chuva de meteoros"", ""Quadrântidas"", ""Lua de Sangue""]",EDUCACAO_E_EXPLICACAO_CIENTIFICA,Ciências Exatas e da Terra,NACIONAL,[],[]
02/01/2025,2025,ciência,5 formas de evitar ser um amigo tóxico,https://www.bbc.com/portuguese/articles/c30npvzg3j6o,"[""relacionamentos"", ""amizades"", ""comportamento"", ""estresse"", ""ciência das conexões sociais"", ""Instituto de Neurologia"", ""University College de Londres""]",EDUCACAO_E_EXPLICACAO_CIENTIFICA,Ciências Sociais Aplicadas,INTERNACIONAL,"[""Instituto de Neurologia"", ""University College de Londres""]","[""David Robson"", ""Archy de Berker""]"
02/01/2025,2025,ciência,10 palavras em 10 idiomas diferentes que vão ajudar a expandir sua mente,https://www.bbc.com/portuguese/articles/cjwlxxg0g86o,"[""línguas"", ""idiomas"", ""cultura"", ""mudanças climáticas"", ""extinção"", ""pesquisadores"", ""comunicação"", ""sami""]",EDUCACAO_E_EXPLICACAO_CIENTIFICA,Interdisciplinar,INTERNACIONAL,"[""Living Tongues Institute for Endangered Languages""]",[]
02/01/2025,2025,blog longevidade: modo de usar,Médico utiliza o próprio câncer para explicar sua relação com doenças infecciosas e crônicas,https://g1.globo.com/bemestar/blog/longevidade-modo-de-usar/post/2025/01/02/medico-utiliza-o-proprio-cancer-para-explicar-sua-relacao-com-doencas-infecciosas-e-cronicas.ghtml,"[""câncer"", ""infecções"", ""doenças crônicas"", ""papilomavírus humano"", ""Texas Biomedical Research Institute"", ""Associação Americana para a Pesquisa do Câncer"", ""inflamação""]",EDUCACAO_E_EXPLICACAO_CIENTIFICA,Ciências da Saúde,INTERNACIONAL,"[""Texas Biomedical Research Institute"", ""Associação Americana para a Pesquisa do Câncer""]","[""Larry Schlesinger""]"
02/01/2025,2025,ciência,Grandes foguetes e telescópio são aguardados para 2025,https://www1.folha.uol.com.br/ciencia/2025/01/grandes-foguetes-telescopio-e-mudancas-no-espaco-sao-aguardados-para-2025.shtml,"[""foguetes"", ""telescópio"", ""Blue Origin"", ""SpaceX"", ""observatório Vera C. Rubin"", ""matéria escura"", ""satélites"", ""Júpiter""]",INOVACAO_TECNOLOGICA,Interdisciplinar,INTERNACIONAL,"[""NASA"", ""Blue Origin"", ""SpaceX"", ""Observatório Vera C. Rubin""]","[""Jeff Bezos"", ""Elon Musk"", ""Vera Rubin""]"
02/01/2025,2025,ciência,Casas de pedra abrigaram 'povo das cavernas' na Inglaterra,https://www1.folha.uol.com.br/ciencia/2025/01/as-casas-de-pedra-que-abrigaram-povo-das-cavernas-ate-meados-do-seculo-20-no-reino-unido.shtml,"[""casas de pedra"", ""povo das cavernas"", ""Kinver Edge"", ""National Trust"", ""Revolução Industrial"", ""patrimônio histórico"", ""turismo"", ""qualidade de vida""]",IMPACTO_SOCIAL,Ciências Humanas,NACIONAL,"[""National Trust""]","[""Claire Hale"", ""Rose Novak""]"
03/01/2025,2025,ciência,Pegadas de dinossauros são encontradas em pedreira,https://www1.folha.uol.com.br/ciencia/2025/01/centenas-de-pegadas-de-dinossauros-sao-encontradas-em-pedreira-no-reino-unido.shtml,"[""dinossauros"", ""pegadas"", ""Jurássico"", ""saurópodes"", ""megalossauro"", ""paleontologia"", ""Universidade de Oxford"", ""Universidade de Birmingham""]",DESCOBERTA_CIENTIFICA,Ciências Biológicas,INTERNACIONAL,"[""Universidade de Oxford"", ""Universidade de Birmingham""]","[""Emma Nicholls"", ""Gary Johnson"", ""Richard Butler""]"
